Year,season,avg_temperature,avg_rainfall,total_rainfall
2006,Winter,21.298,3.025196667,9.07559
2007,Autumn,26.00315,134.753,269.506
2007,Monsoon,28.467275,568.338,2273.352
2007,Summer,27.315,169.7175667,509.1527
2007,Winter,19.93263333,15.89434667,47.68304
2008,Autumn,25.40185,83.734855,167.46971
2008,Monsoon,28.16825,403.3455,1613.382
2008,Summer,27.56126667,115.4548,346.3644
2008,Winter,19.96586667,12.47875333,37.43626
2009,Autumn,26.06415,110.85285,221.7057
2009,Monsoon,28.8926,349.8135,1399.254
2009,Summer,27.90293333,145.1674667,435.5024
2009,Winter,21.0857,6.8197,20.4591
2010,Autumn,26.52705,108.10593,216.21186
2010,Monsoon,28.754325,363.289,1453.156
2010,Summer,28.34233333,218.9825,656.9475
2010,Winter,20.08493333,7.277116667,21.83135
2011,Autumn,25.5023,36.1387,72.2774
2011,Monsoon,28.342625,582.034,2328.136
2011,Summer,27.1565,123.9791,371.9373
2011,Winter,19.90976667,8.582036667,25.74611
2012,Autumn,24.5932,94.1646,188.3292
2012,Monsoon,28.22975,352.8335,1411.334
2012,Summer,27.04183333,163.9416333,491.8249
2012,Winter,18.83813333,12.55048,37.65144
2013,Autumn,24.30075,127.379445,254.75889
2013,Monsoon,28.29245,365.2725,1461.09
2013,Summer,26.66333333,143.96625,431.89875
2013,Winter,18.98736667,4.44034,13.32102
2014,Autumn,24.66525,28.83337,57.66674
2014,Monsoon,28.1554,396.983,1587.932
2014,Summer,27.26093333,81.6577,244.9731
2014,Winter,18.22926667,10.93408667,32.80226
2015,Autumn,25.0233,43.103775,86.20755
2015,Monsoon,28.06495,507.906,2031.624
2015,Summer,26.47166667,129.0883,387.2649
2015,Winter,18.96996667,12.96878,38.90634
